song_id,mean_sim,sd_sim
2008_2,3.4893617021276597,1.6794453073084925
2008_3,2.3617021276595747,1.5382871885836504
2009_2,2.74468085106383,1.7379158571013953
2009_3,5.638297872340425,1.3420544263390526
2010_1,2.574468085106383,1.7906117590883242
2010_2,5.25531914893617,1.4366035595229614
2010_3,3.382978723404255,1.6225743299027022
2011_1,3.851063829787234,1.7317837424516367
2011_2,3.617021276595745,1.738980104511058
2011_3,6.191489361702128,1.096204873590866
2011_4,1.8085106382978724,1.3615575778966686
2012_1,5.0212765957446805,1.3268033126757297
2012_2,4.297872340425532,1.5451873900292072
2012_3,2.872340425531915,1.582746941741199
2012_4,3.6595744680851063,1.7102834210163862
2012_5,4.127659574468085,1.5125133312613452
2013_1,3.6382978723404253,1.5662962670898892
2013_2,4.76595744680851,1.5633404307756156
2013_3,5.574468085106383,1.3791093668373182
2013_5,3.340425531914893,1.6188642790909182
2013_6,5.1063829787234045,1.6449401013700413
2014_1,5.340425531914893,1.550267799371687
2014_2,4.1063829787234045,1.549670968627962
2014_3,2.9361702127659575,1.6339370340583337
2014_4,3.3404255319148937,1.7102834210163864
2014_5,4.191489361702128,1.483800904732291
2015_1,5.914893617021277,1.2654228926063746
2015_2,5.531914893617022,1.5583026416695271
2015_3,6.340425531914893,0.9618052714575416
2015_4,2.829787234042553,1.7108242221116472
2015_5,4.680851063829787,1.6564286225743705
2016_1,2.595744680851064,1.56954125765523
2016_2,5.74468085106383,1.326454658534202
2016_3,3.25531914893617,1.6214336799691778
2016_4,3.297872340425532,1.627413172959671
2016_5,2.4893617021276597,1.4122498304899094
2017_1,3.127659574468085,1.4687619938691896
2017_2,4.872340425531915,1.4687619938691894
2017_3,4.553191489361702,1.4567460856947114
2017_4,3.74468085106383,1.687139141531076
2017_5,3.234042553191489,2.0023113378798105
2018_1,4.148936170212766,1.693706039432788
2018_2,5.170212765957447,1.1481393063518073
2018_3,5.808510638297872,1.076190905004684
2018_4,3.297872340425532,1.768257477034349
2018_5,3.5106382978723403,1.7677342465222174
2019_1,5.1063829787234045,1.4481478808883326
2019_2,3.276595744680851,1.409627265867524
2019_3,2.893617021276596,1.947507242306023
2019_4,3.7021276595744683,1.6004740278378569
